,1 ppm incubation,,
,Supernatant,Pellet,Total
CB2A,0.95,-0.127,0.822
CB2A_p4A_RsaA,1.262,-0.083,1.178
CB2A_p4A_RsaA_LanM,0.924,0.006,0.93
CB2A_p4A_RsaA_LBT,0.955,0,0.955
CB2A_p4A_RsaA_CuBP,0.994,0.115,1.108
CB2A_p4A_RsaA_Azurin,1.04,0.081,1.121
