Strain,Supernatant,Pellet
CB2A_Ctrl,0.215841429,0.377381429
CB2A,1.747045714,1.467161429
RsaA_Ctrl,0.65164,1.468062857
RsaA,1.558317143,3.428135714
LanM_Ctrl,0.062782857,0.67049
LanM,1.196131429,0.652042857
LBT_Ctrl,0.614008571,0.300318571
LBT,1.877545714,1.589818571
CuBP_Ctrl,0.118178571,0.323251429
CuBP,1.80316,1.106732857
Azuron_Ctrl,0.268888571,0.332108571
Azurin,2.633288571,-0.520007143
